Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,2017-12-30,False,False,UFC 219: Cyborg vs. Holm,12/30/2017,UFC 219: Cyborg vs. Holm,12/30/2017,,12/30/2017,UFC 219 - Cyborg vs. Holm,12/30/2017,,12/30/2017,UFC 219
Saturday,2017-12-16,False,False,UFC on Fox: Lawler vs. dos Anjos,12/16/2017,UFC on Fox: Lawler vs. dos Anjos,12/16/2017,,12/16/2017,UFC on Fox 26 - Lawler vs. dos Anjos,12/16/2017,UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,UFC on FOX 26
Saturday,2017-12-09,False,False,UFC Fight Night: Swanson vs. Ortega,12/9/2017,UFC Fight Night: Swanson vs. Ortega,12/9/2017,UFC Fight Night - Swanson vs Ortega,12/9/2017,,12/9/2017,UFC Fight Night: Swanson vs. Ortega,12/9/2017,"UFC Fresno, results"
Saturday,2017-12-02,False,False,UFC 218: Holloway vs. Aldo 2,12/2/2017,UFC 218: Holloway vs. Aldo 2,12/2/2017,UFC 218 - Holloway vs Aldo 2,12/2/2017,UFC 218 - Holloway vs. Aldo 2,12/2/2017,UFC 218: Holloway vs. Aldo 2,12/2/2017,UFC 218
,2017-12-01,False,False,The Ultimate Fighter Finale: Montano vs Modafferi,12/1/2017,The Ultimate Fighter: A New World Champion Finale,12/1/2017,The Ultimate Fighter Finale - Montano vs Modafferi,12/1/2017,,12/1/2017,The Ultimate Fighter 26 Finale,12/1/2017,
Saturday,2017-11-25,False,False,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,UFC Fight Night - Bisping vs Gastelum,11/25/2017,UFC Fight Night 122 - Bisping vs. Gastelum,11/25/2017,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,UFC Shanghai
Saturday,2017-11-18,False,False,UFC Fight Night: Werdum vs. Tybura,11/19/2017,UFC Fight Night: Werdum vs. Tybura,11/18/2017,UFC Fight Night - Werdum vs Tybura,11/18/2017,,11/18/2017,UFC Fight Night: Werdum vs. Tybura,11/18/2017,UFC Sydney
Saturday,2017-11-11,False,False,UFC Fight Night: Poirier vs. Pettis,11/11/2017,UFC Fight Night: Poirier vs. Pettis,11/11/2017,UFC Fight Night - Poirier vs Pettis,11/11/2017,UFC Fight Night 120 - Poirier vs. Pettis,11/11/2017,UFC Fight Night: Poirier vs. Pettis,11/11/2017,"UFC Norfolk, results: One fighter misses weight"
Saturday,2017-11-04,False,False,UFC 217: Bisping vs. St-Pierre,11/4/2017,UFC 217: Bisping vs. St-Pierre,11/4/2017,UFC 217 - Bisping vs St-Pierre,11/4/2017,,11/4/2017,UFC 217: Bisping vs. St-Pierre,11/4/2017,UFC 217
Saturday,2017-10-28,False,False,UFC Fight Night: Brunson vs. Machida,10/28/2017,UFC Fight Night: Brunson vs. Machida,10/28/2017,UFC Fight Night - Brunson vs Machida,10/28/2017,UFC Fight Night 119 - Brunson vs. Machida,10/28/2017,UFC Fight Night: Brunson vs. Machida,10/28/2017,UFC Sao Paulo
Saturday,2017-10-21,False,False,UFC Fight Night: Cerrone vs. Till,10/21/2017,UFC Fight Night: Cerrone vs. Till,10/21/2017,UFC Fight Night - Cerrone vs Till,10/21/2017,,10/21/2017,UFC Fight Night: Cerrone vs. Till,10/21/2017,"UFC Gdansk, results"
Saturday,2017-10-07,False,False,UFC 216: Ferguson vs. Lee,10/7/2017,UFC 216: Ferguson vs. Lee,10/7/2017,UFC 216 - Ferguson vs. Lee,10/7/2017,UFC 216 - Ferguson vs. Lee,10/7/2017,UFC 216: Ferguson vs. Lee,10/7/2017,UFC 216
Friday,2017-09-22,False,False,UFC Fight Night: Saint Preux vs. Okami,9/23/2017,UFC Fight Night: Saint Preux vs. Okami,9/22/2017,UFC Fight Night - Saint Preux vs Okami,9/22/2017,,9/22/2017,UFC Fight Night: Saint Preux vs. Okami,9/22/2017,"UFC Japan, results: Mizuto Hirota misses weight"
Saturday,2017-09-16,False,True,UFC Fight Night: Rockhold vs. Branch,9/16/2017,UFC Fight Night: Rockhold vs. Branch,9/16/2017,UFC Fight Night - Rockhold vs Branch,9/16/2017,UFC Fight Night 116 - Rockhold vs. Branch,9/16/2017,UFC Fight Night: Rockhold vs. Branch,9/16/2017,"UFC Pittsburgh, results"
Saturday,2017-09-09,False,False,UFC 215: Nunes vs. Shevchenko 2,9/9/2017,UFC 215: Nunes vs. Shevchenko 2,9/9/2017,UFC 215 - Nunes vs Shevchenko 2,9/9/2017,,9/9/2017,UFC 215: Nunes vs Shevchenko 2,9/9/2017,UFC 215
Saturday,2017-09-02,False,False,UFC Fight Night: Volkov vs. Struve,9/2/2017,UFC Fight Night: Volkov vs. Struve,9/2/2017,UFC Fight Night - Volkov vs Struve,9/2/2017,UFC Fight Night 115 - Volkov vs. Struve,9/2/2017,UFC Fight Night: Volkov vs. Struve,9/2/2017,"UFC Rotterdam, results"
Saturday,2017-08-05,False,False,UFC Fight Night: Pettis vs. Moreno,8/5/2017,UFC Fight Night: Pettis vs. Moreno,8/5/2017,UFC Fight Night - Pettis vs Moreno,8/5/2017,,8/5/2017,UFC Fight Night: Pettis vs. Moreno,8/5/2017,UFC Fight Night 114 weigh-in results: Alexa Grasso misses weight
Saturday,2017-07-29,False,False,UFC 214: Cormier vs. Jones 2,7/29/2017,UFC 214: Cormier vs. Jones 2,7/29/2017,UFC 214 - Cormier vs Jones 2,7/29/2017,UFC 214 - Cormier vs. Jones 2,7/29/2017,UFC 214: Cormier vs. Jones 2,7/29/2017,UFC 214
Saturday,2017-07-22,False,False,UFC on Fox: Weidman vs. Gastelum,7/22/2017,UFC on Fox: Weidman vs. Gastelum,7/22/2017,UFC Fight Night - Weidman vs Gastelum,7/22/2017,,7/22/2017,UFC Fight Night: Weidman vs. Gastelum,7/22/2017,UFC on FOX 25
Sunday,2017-07-16,False,False,UFC Fight Night: Nelson vs. Ponzinibbio,7/16/2017,UFC Fight Night: Nelson vs. Ponzinibbio,7/16/2017,UFC Fight Night - Nelson vs Ponzinibbio,7/16/2017,UFC Fight Night 113 - Nelson vs. Ponzinibbio,7/16/2017,UFC Fight Night: Nelson vs. Ponzinibbio,7/16/2017,UFC Fight Night 113
Saturday,2017-07-08,False,False,UFC 213: Romero vs. Whittaker,7/8/2017,UFC 213: Romero vs. Whittaker,7/8/2017,UFC 213 - Romero vs Whittaker,7/8/2017,,7/8/2017,UFC 213: Romero vs. Whittaker,7/8/2017,UFC 213
Friday,2017-07-07,False,False,The Ultimate Fighter: Redemption Finale,7/7/2017,The Ultimate Fighter: Redemption Finale,7/7/2017,The Ultimate Fighter Finale - Johnson vs Gaethje,7/7/2017,UFC - The Ultimate Fighter 25 Finale,7/7/2017,The Ultimate Fighter 25 Finale,7/7/2017,TUF 25 Finale
