Day of Week,Date,,,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,12/30/2017,,,UFC 219: Cyborg vs. Holm,12/30/2017,UFC 219: Cyborg vs. Holm,12/30/2017,,12/30/2017,UFC 219 - Cyborg vs. Holm,12/30/2017,,12/30/2017,
Saturday,12/16/2017,FALSE,FALSE,UFC on Fox: Lawler vs. dos Anjos,12/16/2017,UFC on Fox: Lawler vs. dos Anjos,12/16/2017,,12/16/2017,UFC on Fox 26 - Lawler vs. dos Anjos,12/16/2017,UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,
Saturday,12/9/2017,FALSE,FALSE,UFC Fight Night: Swanson vs. Ortega,12/9/2017,UFC Fight Night: Swanson vs. Ortega,12/9/2017,UFC Fight Night - Swanson vs Ortega,12/9/2017,,12/9/2017,UFC Fight Night: Swanson vs. Ortega,12/9/2017,
Saturday,12/2/2017,FALSE,FALSE,UFC 218: Holloway vs. Aldo 2,12/2/2017,UFC 218: Holloway vs. Aldo 2,12/2/2017,UFC 218 - Holloway vs Aldo 2,12/2/2017,UFC 218 - Holloway vs. Aldo 2,12/2/2017,UFC 218: Holloway vs. Aldo 2,12/2/2017,UFC 218
,12/1/2017,FALSE,FALSE,The Ultimate Fighter Finale: Montano vs Modafferi,12/1/2017,The Ultimate Fighter: A New World Champion Finale,12/1/2017,The Ultimate Fighter Finale - Montano vs Modafferi,12/1/2017,,12/1/2017,The Ultimate Fighter 26 Finale,12/1/2017,
Saturday,11/25/2017,FALSE,FALSE,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,UFC Fight Night - Bisping vs Gastelum,11/25/2017,UFC Fight Night 122 - Bisping vs. Gastelum,11/25/2017,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,
Saturday,11/18/2017,FALSE,FALSE,UFC Fight Night: Werdum vs. Tybura,11/19/2017,UFC Fight Night: Werdum vs. Tybura,11/18/2017,UFC Fight Night - Werdum vs Tybura,11/18/2017,,11/18/2017,UFC Fight Night: Werdum vs. Tybura,11/18/2017,
Saturday,11/11/2017,FALSE,FALSE,UFC Fight Night: Poirier vs. Pettis,11/11/2017,UFC Fight Night: Poirier vs. Pettis,11/11/2017,UFC Fight Night - Poirier vs Pettis,11/11/2017,UFC Fight Night 120 - Poirier vs. Pettis,11/11/2017,UFC Fight Night: Poirier vs. Pettis,11/11/2017,
Saturday,11/4/2017,FALSE,FALSE,UFC 217: Bisping vs. St-Pierre,11/4/2017,UFC 217: Bisping vs. St-Pierre,11/4/2017,UFC 217 - Bisping vs St-Pierre,11/4/2017,,11/4/2017,UFC 217: Bisping vs. St-Pierre,11/4/2017,
Saturday,10/28/2017,FALSE,FALSE,UFC Fight Night: Brunson vs. Machida,10/28/2017,UFC Fight Night: Brunson vs. Machida,10/28/2017,UFC Fight Night - Brunson vs Machida,10/28/2017,UFC Fight Night 119 - Brunson vs. Machida,10/28/2017,UFC Fight Night: Brunson vs. Machida,10/28/2017,
