Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting,Date Sherdog,Event Sherdog
Saturday,12/30/2017,FALSE,FALSE,UFC 219: Cyborg vs. Holm,12/30/2017,UFC 219: Cyborg vs. Holm,12/30/2017,,12/30/2017,,12/30/2017,UFC 219,12/30/2017,UFC 219 - Cyborg vs. Holm
Saturday,12/16/2017,FALSE,FALSE,UFC on Fox: Lawler vs. dos Anjos,12/16/2017,UFC on Fox: Lawler vs. dos Anjos,12/16/2017,,12/16/2017,UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,UFC on FOX 26,12/16/2017,UFC on Fox 26 - Lawler vs. dos Anjos
Saturday,12/9/2017,FALSE,FALSE,UFC Fight Night: Swanson vs. Ortega,12/9/2017,UFC Fight Night: Swanson vs. Ortega,12/9/2017,UFC Fight Night - Swanson vs Ortega,12/9/2017,UFC Fight Night: Swanson vs. Ortega,12/9/2017,"UFC Fresno, results",12/9/2017,UFC Fight Night 123 - Swanson vs. Ortega
Saturday,12/2/2017,FALSE,FALSE,UFC 218: Holloway vs. Aldo 2,12/2/2017,UFC 218: Holloway vs. Aldo 2,12/2/2017,UFC 218 - Holloway vs Aldo 2,12/2/2017,UFC 218: Holloway vs. Aldo 2,12/2/2017,UFC 218,12/2/2017,UFC 218 - Holloway vs. Aldo 2
,12/1/2017,FALSE,FALSE,The Ultimate Fighter Finale: Montano vs Modafferi,12/1/2017,The Ultimate Fighter: A New World Champion Finale,12/1/2017,The Ultimate Fighter Finale - Montano vs Modafferi,12/1/2017,The Ultimate Fighter 26 Finale,12/1/2017,,12/1/2017,UFC - The Ultimate Fighter 26 Finale
Saturday,11/25/2017,FALSE,FALSE,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,UFC Fight Night - Bisping vs Gastelum,11/25/2017,UFC Fight Night: Bisping vs. Gastelum,11/25/2017,UFC Shanghai,11/25/2017,UFC Fight Night 122 - Bisping vs. Gastelum
Saturday,11/18/2017,FALSE,FALSE,UFC Fight Night: Werdum vs. Tybura,11/19/2017,UFC Fight Night: Werdum vs. Tybura,11/18/2017,UFC Fight Night - Werdum vs Tybura,11/18/2017,UFC Fight Night: Werdum vs. Tybura,11/18/2017,UFC Sydney,11/18/2017,UFC Fight Night 121 - Werdum vs. Tybura
Saturday,11/11/2017,FALSE,FALSE,UFC Fight Night: Poirier vs. Pettis,11/11/2017,UFC Fight Night: Poirier vs. Pettis,11/11/2017,UFC Fight Night - Poirier vs Pettis,11/11/2017,UFC Fight Night: Poirier vs. Pettis,11/11/2017,"UFC Norfolk, results: One fighter misses weight",11/11/2017,UFC Fight Night 120 - Poirier vs. Pettis
Saturday,11/4/2017,FALSE,FALSE,UFC 217: Bisping vs. St-Pierre,11/4/2017,UFC 217: Bisping vs. St-Pierre,11/4/2017,UFC 217 - Bisping vs St-Pierre,11/4/2017,UFC 217: Bisping vs. St-Pierre,11/4/2017,UFC 217,11/4/2017,UFC 217 - Bisping vs. St. Pierre
Saturday,10/28/2017,FALSE,FALSE,UFC Fight Night: Brunson vs. Machida,10/28/2017,UFC Fight Night: Brunson vs. Machida,10/28/2017,UFC Fight Night - Brunson vs Machida,10/28/2017,UFC Fight Night: Brunson vs. Machida,10/28/2017,UFC Sao Paulo,10/28/2017,UFC Fight Night 119 - Brunson vs. Machida
Saturday,10/21/2017,FALSE,FALSE,UFC Fight Night: Cerrone vs. Till,10/21/2017,UFC Fight Night: Cerrone vs. Till,10/21/2017,UFC Fight Night - Cerrone vs Till,10/21/2017,UFC Fight Night: Cerrone vs. Till,10/21/2017,"UFC Gdansk, results",10/21/2017,UFC Fight Night 118 - Cerrone vs. Till
Saturday,10/7/2017,FALSE,FALSE,UFC 216: Ferguson vs. Lee,10/7/2017,UFC 216: Ferguson vs. Lee,10/7/2017,UFC 216 - Ferguson vs. Lee,10/7/2017,UFC 216: Ferguson vs. Lee,10/7/2017,UFC 216,10/7/2017,UFC 216 - Ferguson vs. Lee
Friday,9/22/2017,FALSE,FALSE,UFC Fight Night: Saint Preux vs. Okami,9/23/2017,UFC Fight Night: Saint Preux vs. Okami,9/22/2017,UFC Fight Night - Saint Preux vs Okami,9/22/2017,UFC Fight Night: Saint Preux vs. Okami,9/22/2017,"UFC Japan, results: Mizuto Hirota misses weight",9/22/2017,UFC Fight Night 117 - St. Preux vs. Okami
Saturday,9/16/2017,FALSE,FALSE,UFC Fight Night: Rockhold vs. Branch,9/16/2017,UFC Fight Night: Rockhold vs. Branch,9/16/2017,UFC Fight Night - Rockhold vs Branch,9/16/2017,UFC Fight Night: Rockhold vs. Branch,9/16/2017,"UFC Pittsburgh, results",9/16/2017,UFC Fight Night 116 - Rockhold vs. Branch
Saturday,9/9/2017,FALSE,FALSE,UFC 215: Nunes vs. Shevchenko 2,9/9/2017,UFC 215: Nunes vs. Shevchenko 2,9/9/2017,UFC 215 - Nunes vs Shevchenko 2,9/9/2017,UFC 215: Nunes vs Shevchenko 2,9/9/2017,UFC 215,9/9/2017,UFC 215 - Nunes vs. Shevchenko 2
Saturday,9/2/2017,FALSE,FALSE,UFC Fight Night: Volkov vs. Struve,9/2/2017,UFC Fight Night: Volkov vs. Struve,9/2/2017,UFC Fight Night - Volkov vs Struve,9/2/2017,UFC Fight Night: Volkov vs. Struve,9/2/2017,"UFC Rotterdam, results",9/2/2017,UFC Fight Night 115 - Volkov vs. Struve
