Last Name,Fighter,Alternate1,Alternate2,Alternate3,Alternate4
Abbott,Tank Abbott,David Abbott,,,
Aguiar,Marcello Aguiar,Marcelo Aguiar,,,
Akhmedov,Omari Akhmedov,Omari Akhmedo,,,
Albu,Alexandra Albu,Aleksandra Albu,,,
Alcantara,Iuri Alcantara,Yuri Alcantara,,,
Aldana,Irene Aldana,Irena Aldana,,,
Aldrich,JJ Aldrich,J.J. Aldrich,,,
Alexandre,Marcio Alexandre,Marcio Alexandre Junior,,,
Alhassan,Abdul Razak Alhassan,Adbul Razak Alhassan,,,
Alloway,Benny Alloway,Ben Alloway,,,
Anjos,Rafael Dos Anjos,Rafael dos Anjos,,,
Anyanwu,Zu Anyanwu,Azunna Anyanwu,,,
Arciniega,Art Arciniega,Art Arcienega,,,
Arsdale,Mike Van Arsdale,Mike van Arsdale,,,
Arzamendia,Cesar Arzamendia,Cezar Arzamendia,,,
Assuncao,Junior Assuncao,Junior Assuno,,,
Barrantes,Juan Barrantes,Juan Barrante,,,
Barrera,Dan Barrera,Daniel Barrera,,,
Barreto,Carlos Barreto,Carlos Baretto,,,
Benavidez,Joseph Benavidez,Joesph Benavidez,,,
Bergmark,Bret Bergmark,Brett Bergmark,,,
Berto,Dieusel Berto,Dieuseul Berto,,,
Bhullar,Arjan Singh Bhullar,Arjan Bhullar,,,
Bhullar,Arjan Singh Bhullar,Arjan Bhullar,,,
Bitteti,Amaury Bitetti,Amaury Bitteti,,,
Blackmon,Ramico Blackmon,Ramiro Blackmon,,,
Bobish,Daniel Bobish,Dan Bobish,,,
Bochnovic,James Bochnovic,James Bochnoviv,,,
Bosse,Steve Bosse,Steve Boss,,,
Bradley,Timothy Bradley,Tim Bradley,,,
Braga,Ebenezer Braga,Ebenezer Fontes Braga,,,
Branch,David Branch,Dave Branch,,,
Bravo,Martin Bravo,Martn Bravo,,,
Briones,Henry Briones,Enrique Briones,,,
Brookins,Jonathan Brookins,Jonathon Brookins,,,
Brown,Mike Brown,Mike Thomas Brown,,,
Browning,Junie Browning,Junie Allen Browning,,,
Burkman,Josh Burkman,Joshua Burkman,,,
Caceres,Alex Caceres,Alex Cacares,Alex Caceras,,
Cannetti,Guido Cannetti,Guido Canneti,,,
Carrasco,Gabriel Carrasco,Gabe Carrasco,,,
Casey-Sanchez,Cortney Casey,Cortney Casey-Sanchez,,,
Cason,Dwayne Cason,Duane Cason,,,
Cavalcante,"Gesias ""JZ"" Cavalcante",Gesias Cavalcante,JZ Cavalcante,,
Cavalcante,"Rafael ""Feijao"" Cavalcante",Rafael Cavalcante,Rafael Feijao,,
