Date,Event,Fight,Fighter,Opponent,Weight,Url
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Emily Whitmire (125) vs. Gillian Robertson (125.5),Emily Whitmire,Gillian Robertson,125,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Emily Whitmire (125) vs. Gillian Robertson (125.5),Gillian Robertson,Emily Whitmire,125.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Shana Dobson (125.5) vs. Ariel Beck (125.5),Shana Dobson,Ariel Beck,125.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Shana Dobson (125.5) vs. Ariel Beck (125.5),Ariel Beck,Shana Dobson,125.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Karine Gevorgyan (130.5) vs. Rachael Ostovich (125),Karine Gevorgyan,Rachael Ostovich,130.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Karine Gevorgyan (130.5) vs. Rachael Ostovich (125),Rachael Ostovich,Karine Gevorgyan,125,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Andrew Sanchez (185.5) vs. Ryan Janes (185),Andrew Sanchez,Ryan Janes,185.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Andrew Sanchez (185.5) vs. Ryan Janes (185),Ryan Janes,Andrew Sanchez,185,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Christina Marks (125.5) vs. Montana De La Rosa (125.5),Christina Marks,Montana De La Rosa,125.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Christina Marks (125.5) vs. Montana De La Rosa (125.5),Montana De La Rosa,Christina Marks,125.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Joe Soto (135) vs. Brett Johns (135.5),Joe Soto,Brett Johns,135,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Joe Soto (135) vs. Brett Johns (135.5),Brett Johns,Joe Soto,135.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Deanna Bennett (126) vs. Melinda Fabian (126),Deanna Bennett,Melinda Fabian,126,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Deanna Bennett (126) vs. Melinda Fabian (126),Melinda Fabian,Deanna Bennett,126,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Eric Spicely (185.5) vs. Gerald Meerschaert (185),Eric Spicely,Gerald Meerschaert,185.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Eric Spicely (185.5) vs. Gerald Meerschaert (185),Gerald Meerschaert,Eric Spicely,185,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Barb Honchak (125.5) vs. Lauren Murphy (124.5),Barb Honchak,Lauren Murphy,125.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Barb Honchak (125.5) vs. Lauren Murphy (124.5),Lauren Murphy,Barb Honchak,124.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Sean O'Malley (135.5) vs. Terrion Ware (136),Sean O'Malley,Terrion Ware,135.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Sean O'Malley (135.5) vs. Terrion Ware (136),Terrion Ware,Sean O'Malley,136,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Nicco Montano (124.5) vs. Roxanne Modafferi (124),Nicco Montano,Roxanne Modafferi,124.5,https://www.youtube.com/watch?v=CDPhGGnSaOA
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Nicco Montano (124.5) vs. Roxanne Modafferi (124),Roxanne Modafferi,Nicco Montano,124,https://www.youtube.com/watch?v=CDPhGGnSaOA
2016-12-30,UFC 207: Nunes vs. Rousey,Tim Means (170) vs. Alex Oliveira (170.5),Tim Means,Alex Oliveira,170,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Tim Means (170) vs. Alex Oliveira (170.5),Alex Oliveira,Tim Means,170.5,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Niko Price (170) vs. Brandon Thatch (170),Niko Price,Brandon Thatch,170,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Niko Price (170) vs. Brandon Thatch (170),Brandon Thatch,Niko Price,170,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Alex Garcia (170.5) vs. Mike Pyle (170),Alex Garcia,Mike Pyle,170.5,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Alex Garcia (170.5) vs. Mike Pyle (170),Mike Pyle,Alex Garcia,170,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Marvin Vettori (186) vs. Antonio Carlos Junior (186),Marvin Vettori,Antonio Carlos Junior,186,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Marvin Vettori (186) vs. Antonio Carlos Junior (186),Antonio Carlos Junior,Marvin Vettori,186,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Niel Magny (171) vs. Johny Hendricks (173.5),Niel Magny,Johny Hendricks,171,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Niel Magny (171) vs. Johny Hendricks (173.5),Johny Hendricks,Niel Magny,173.5,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Ray Borg (129.5) vs. Louis Smolka (125.5),Ray Borg,Louis Smolka,129.5,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Ray Borg (129.5) vs. Louis Smolka (125.5),Louis Smolka,Ray Borg,125.5,https://www.youtube.com/watch?v=mE0F6oEc-QQ
2016-12-30,UFC 207: Nunes vs. Rousey,Tarec Saffiedine (171) vs. Dong Hyun Kim (171),Tarec Saffiedine,Dong Hyun Kim,171,https://www.youtube.com/watch?v=mE0F6oEc-QQ
