Event,Date,Fight Number,Division,Weightclass,Fighter,Opponent,Result,Method,Round,Time,Sig Strikes,Takedowns,Sub Attempts,Guard Passes,Url
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,0,Welterweight,170,Rafael Dos Anjos,Robbie Lawler,win,U-DEC,5,5:00,172,2,0,1,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,0,Welterweight,170,Robbie Lawler,Rafael Dos Anjos,loss,U-DEC,5,5:00,86,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,1,Featherweight,145,Josh Emmett,Ricardo Lamas,win,KO/TKO  Punch,1,4:33,10,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,1,Featherweight,145,Ricardo Lamas,Josh Emmett,loss,KO/TKO  Punch,1,4:33,17,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,2,Welterweight,170,Santiago Ponzinibbio,Mike Perry,win,U-DEC,3,5:00,78,3,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,2,Welterweight,170,Mike Perry,Santiago Ponzinibbio,loss,U-DEC,3,5:00,51,1,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,3,Light Heavyweight,205,Glover Teixeira,Misha Cirkunov,win,KO/TKO  Punches,1,2:45,13,1,1,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,3,Light Heavyweight,205,Misha Cirkunov,Glover Teixeira,loss,KO/TKO  Punches,1,2:45,21,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,4,Light Heavyweight,205,Jan Blachowicz,Jared Cannonier,win,U-DEC,3,5:00,50,4,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,4,Light Heavyweight,205,Jared Cannonier,Jan Blachowicz,loss,U-DEC,3,5:00,26,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
