Date,Event,Fight,Fighter,Opponent,Url,Weight
2017-12-30,UFC 219,Carlos Condit (170.5) vs. Neil Magny (170.5),Neil Magny,Carlos Condit,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,170.5
2017-12-30,UFC 219,Cynthia Calvillo (116) vs. Carla Esparza (115.5),Carla Esparza,Cynthia Calvillo,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,115.5
2017-12-30,UFC 219,Tim Elliott (135) vs. Mark De La Rosa (135.5),Tim Elliott,Mark De La Rosa,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,135.0
2017-12-30,UFC 219,Louis Smolka (126) vs. Matheus Nicolau (125.5),Matheus Nicolau,Louis Smolka,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,125.5
2017-12-30,UFC 219,Cris Cyborg (145) vs. Holly Holm (144),"Cris ""Cyborg"" Justino",Holly Holm,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,145.0
2017-12-30,UFC 219,Cris Cyborg (145) vs. Holly Holm (144),Holly Holm,Cris Cyborg,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,144.0
2017-12-30,UFC 219,Khabib Nurmagomedov (155.5) vs. Edson Barboza (155),Khabib Nurmagomedov,Edson Barboza,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,155.5
2017-12-30,UFC 219,Dan Hooker (155.5) vs. Marc Diakiese (155.5),Dan Hooker,Marc Diakiese,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,155.5
2017-12-30,UFC 219,Dan Hooker (155.5) vs. Marc Diakiese (155.5),Marc Diakiese,Dan Hooker,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,155.5
2017-12-30,UFC 219,Cynthia Calvillo (116) vs. Carla Esparza (115.5),Cynthia Calvillo,Carla Esparza,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,116.0
2017-12-30,UFC 219,Khabib Nurmagomedov (155.5) vs. Edson Barboza (155),Edson Barboza,Khabib Nurmagomedov,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,155.0
2017-12-30,UFC 219,Carlos Condit (170.5) vs. Neil Magny (170.5),Carlos Condit,Neil Magny,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,170.5
2017-12-30,UFC 219,Myles Jury (146) vs. Rick Glenn (145.5),Rick Glenn,Myles Jury,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,145.5
