Organization,Event,Date,Fight Number,Result,Fighter,Opponent,Method,Round,Time,Url
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Cristiane Justino yet to,Holly Holm yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Holly Holm yet to,Cristiane Justino yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Cristiane Justino yet to,Holly Holm yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Holly Holm yet to,Cristiane Justino yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Cristiane Justino yet to,Holly Holm yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Holly Holm yet to,Cristiane Justino yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Cristiane Justino yet to,Holly Holm yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Holly Holm yet to,Cristiane Justino yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Cristiane Justino yet to,Holly Holm yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,0,come,Holly Holm yet to,Cristiane Justino yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,1,come,Edson Barboza yet to,Khabib Nurmagomedov  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,1,come,Khabib Nurmagomedov yet to,Edson Barboza  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,1,come,Edson Barboza yet to,Khabib Nurmagomedov  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,1,come,Khabib Nurmagomedov yet to,Edson Barboza  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
