Event,Date,Location,Fight Number,Fighter,Record,Height,Weightclass,Reach,Leg Reach,Url
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",0,Cub Swanson,25-8-0,"5' 8""",145,70,38,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",0,Brian Ortega,"13-0-0, 1NC","5' 8""",145,69,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",1,Jason Knight,20-4-0,"5' 10""",145,71,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",1,Gabriel Benitez,20-7-0,"5' 8""",145,71,40,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",2,Marlon Moraes,20-5-1,"5' 6""",135,67,37,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",2,Aljamain Sterling,14-3-0,"5' 7""",135,71,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",3,Scott Holtzman,11-2-0,"5' 9""",155,69,39,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",3,Darrell Horcher,13-3-0,"5' 10""",155,72,38,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",4,Eryk Anders,10-0-0,0,185,75,43,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
UFC Fight Night - Swanson vs Ortega,2017-12-09 00:00:00,"Fresno, California",4,Markus Perez,9-1-0,"6' 1""",185,,,http://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017/printFightCard
