Event,Date,Fight Number,Result,Fighter,Opponent,Method,Nationality,Division,Weightclass,Weight,Missed by,Notes,Withdrawn,Main Co-Main vs Undercard
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,1.0,win,Josh Emmett,Ricardo Lamas,KO/TKO  Punch,USA,FW,145,148.5,3.5,,,Main or Co-Main
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,,,Pietro Menga,,,GBR,FLY,125,131.0,6.0,Withdrawn by doctor at 6lb over limit,Withdrawn,Undercard
The Ultimate Fighter 26 Finale,2017-12-01,8.0,loss,Karine Gevorgyan,Rachael Ostovich,SUB  Armbar,ARM,WFLY,125,130.0,5.0,,,Undercard
The Ultimate Fighter 26 Finale,2017-12-01,,,Sijara Eubanks,,,USA,WFLY,125,,,Failed to weigh-in after being hospitalised,Withdrawn,Undercard
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,10.0,win,Rolando Dy,Wuliji Buren,U-DEC,PHI,FW,145,148.0,3.0,,,Undercard
UFC Fight Night: Werdum vs. Tybura,2017-11-18,1.0,win,Jessica Rose-Clark,Bec Rawlings,S-DEC,AUS,WFLY,125,128.0,3.0,,,Main or Co-Main
UFC Fight Night: Werdum vs. Tybura,2017-11-18,6.0,win,Ryan Benoit,Ashkan Mokhtarian,KO/TKO  Kick,USA,FLY,125,129.0,4.0,,,Undercard
UFC Fight Night: Werdum vs. Tybura,2017-11-18,9.0,win,Frank Camacho,Damien Brown,S-DEC,USA,LW,155,160.0,5.0,,,Undercard
UFC Fight Night: Werdum vs. Tybura,2017-11-18,10.0,win,Nadia Kassem,Alex Chambers,U-DEC,USA,WSW,115,120.0,5.0,,,Undercard
UFC Fight Night: Poirier vs. Pettis,2017-11-11,4.0,loss,Matthew Lopez,Raphael Assuncao,KO/TKO  Punch,USA,BW,135,138.5,3.5,,,Undercard
UFC Fight Night: Cerrone vs. Till,2017-10-21,6.0,loss,Sam Alvey,Ramazan Emeev,U-DEC,USA,MW,185,189.0,4.0,,,Undercard
UFC 216: Ferguson vs. Lee,2017-10-07,0.0,loss,Kevin Lee,Tony Ferguson,SUB  Triangle Choke,USA,LW,155,155.0,0.0,Made weight at 2nd attempt,,Main or Co-Main
UFC Fight Night: Saint Preux vs. Okami,2017-09-22,,,Mizuto Hirota,,,JAP,FW,145,,,"missed weight by 4lb, then withdrawn",Withdrawn,Undercard
