Event,Date,Division,Weightclass,Fight Number,Fighter,Result,Opponent,Method,Round,Time,Location,Venue,Attendance,Url
UFC 219: Cyborg vs. Holm,2017-12-30,Women's Featherweight,145.0,0,"Cris ""Cyborg"" Justino",win,Holly Holm,"Decision (unanimous) (49-46, 48-47, 48-47)",5,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Women's Featherweight,145.0,0,Holly Holm,loss,Cris Cyborg,"Decision (unanimous) (49-46, 48-47, 48-47)",5,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Lightweight,155.0,1,Khabib Nurmagomedov,win,Edson Barboza,"Decision (unanimous) (30-25, 30-25, 30-24)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Lightweight,155.0,1,Edson Barboza,loss,Khabib Nurmagomedov,"Decision (unanimous) (30-25, 30-25, 30-24)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Lightweight,155.0,2,Dan Hooker,win,Marc Diakiese,Submission (guillotine choke),3,0:42,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Lightweight,155.0,2,Marc Diakiese,loss,Dan Hooker,Submission (guillotine choke),3,0:42,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Women's Strawweight,115.0,3,Carla Esparza,win,Cynthia Calvillo,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Women's Strawweight,115.0,3,Cynthia Calvillo,loss,Carla Esparza,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Welterweight,170.0,4,Neil Magny,win,Carlos Condit,"Decision (unanimous) (30-27, 30-27, 29-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Welterweight,170.0,4,Carlos Condit,loss,Neil Magny,"Decision (unanimous) (30-27, 30-27, 29-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Light Heavyweight,205.0,5,Micha Oleksiejczuk,win,Khalil Rountree Jr.,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Light Heavyweight,205.0,5,Khalil Rountree,loss,Micha Oleksiejczuk,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Featherweight,145.0,6,Myles Jury,win,Rick Glenn,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Featherweight,145.0,6,Rick Glenn,loss,Myles Jury,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Middleweight,185.0,7,Marvin Vettori,draw,Omari Akhmedov,"Draw (majority) (28-28, 29-28, 28-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Middleweight,185.0,7,Omari Akhmedov,draw,Marvin Vettori,"Draw (majority) (28-28, 29-28, 28-28)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Flyweight,125.0,8,Matheus Nicolau,win,Louis Smolka,"Decision (unanimous) (30-26, 30-26, 30-25)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Flyweight,125.0,8,Louis Smolka,loss,Matheus Nicolau,"Decision (unanimous) (30-26, 30-26, 30-25)",3,5:00,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Bantamweight,135.0,9,Tim Elliott,win,Mark De La Rosa,Submission (anaconda choke),2,1:41,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC 219: Cyborg vs. Holm,2017-12-30,Bantamweight,135.0,9,Mark De La Rosa,loss,Tim Elliott,Submission (anaconda choke),2,1:41,"Las Vegas, Nevada, U.S.",T-Mobile Arena,13561.0,https://en.wikipedia.org/wiki/UFC_219
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Welterweight,170.0,0,Rafael Dos Anjos,win,Robbie Lawler,"Decision (unanimous) (50-45, 50-45, 50-45)",5,5:00,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Welterweight,170.0,0,Robbie Lawler,loss,Rafael dos Anjos,"Decision (unanimous) (50-45, 50-45, 50-45)",5,5:00,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Catchweight (148.5 lbs),148.5,1,Josh Emmett,win,Ricardo Lamas,KO (punch),1,4:33,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Catchweight (148.5 lbs),148.5,1,Ricardo Lamas,loss,Josh Emmett,KO (punch),1,4:33,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Welterweight,170.0,2,Santiago Ponzinibbio,win,Mike Perry,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Welterweight,170.0,2,Mike Perry,loss,Santiago Ponzinibbio,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Light Heavyweight,205.0,3,Glover Teixeira,win,Misha Cirkunov,TKO (punches),1,2:45,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Light Heavyweight,205.0,3,Misha Cirkunov,loss,Glover Teixeira,TKO (punches),1,2:45,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Light Heavyweight,205.0,4,Jan Bachowicz,win,Jared Cannonier,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Light Heavyweight,205.0,4,Jared Cannonier,loss,Jan Bachowicz,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Middleweight,185.0,5,Julian Marquez,win,Darren Stewart,Submission (guillotine choke),2,2:42,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Middleweight,185.0,5,Darren Stewart,loss,Julian Marquez,Submission (guillotine choke),2,2:42,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Welterweight,170.0,6,Chad Laprise,win,Galore Bofando,TKO (punches),1,4:10,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Welterweight,170.0,6,Galore Bofando,loss,Chad Laprise,TKO (punches),1,4:10,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Welterweight,170.0,7,Nordine Taleb,win,Danny Roberts,KO (head kick and punch),1,0:59,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Welterweight,170.0,7,Danny Roberts,loss,Nordine Taleb,KO (head kick and punch),1,0:59,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Lightweight,155.0,8,John Makdessi,win,Abel Trujillo,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Lightweight,155.0,8,Abel Trujillo,loss,John Makdessi,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Middleweight,185.0,9,Alessio Di Chirico,win,Oluwale Bamgbose,KO (knee),2,2:14,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
