WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
win,Rafael Dos Anjos,172,2,0,1,Welterweight,U-DEC,5,5:00,Rafael Dos Anjos vs. Robbie Lawler,0,Robbie Lawler,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Robbie Lawler,86,0,0,0,Welterweight,U-DEC,5,5:00,Rafael Dos Anjos vs. Robbie Lawler,0,Rafael Dos Anjos,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Josh Emmett,10,0,0,0,Featherweight,KO/TKO  Punch,1,4:33,Josh Emmett vs. Ricardo Lamas,1,Ricardo Lamas,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Ricardo Lamas,17,0,0,0,Featherweight,KO/TKO  Punch,1,4:33,Josh Emmett vs. Ricardo Lamas,1,Josh Emmett,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Santiago Ponzinibbio,78,3,0,2,Welterweight,U-DEC,3,5:00,Santiago Ponzinibbio vs. Mike Perry,2,Mike Perry,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Mike Perry,51,1,0,0,Welterweight,U-DEC,3,5:00,Santiago Ponzinibbio vs. Mike Perry,2,Santiago Ponzinibbio,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Glover Teixeira,13,1,1,2,Light Heavyweight,KO/TKO  Punches,1,2:45,Glover Teixeira vs. Misha Cirkunov,3,Misha Cirkunov,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Misha Cirkunov,21,0,0,0,Light Heavyweight,KO/TKO  Punches,1,2:45,Glover Teixeira vs. Misha Cirkunov,3,Glover Teixeira,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Jan Blachowicz,50,4,0,2,Light Heavyweight,U-DEC,3,5:00,Jan Blachowicz vs. Jared Cannonier,4,Jared Cannonier,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Jared Cannonier,26,0,0,0,Light Heavyweight,U-DEC,3,5:00,Jan Blachowicz vs. Jared Cannonier,4,Jan Blachowicz,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Julian Marquez,32,0,3,1,Middleweight,SUB  Guillotine Choke,2,2:42,Julian Marquez vs. Darren Stewart,5,Darren Stewart,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Darren Stewart,33,4,0,2,Middleweight,SUB  Guillotine Choke,2,2:42,Julian Marquez vs. Darren Stewart,5,Julian Marquez,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Chad Laprise,20,1,0,2,Welterweight,KO/TKO  Punches,1,4:10,Chad Laprise vs. Galore Bofando,6,Galore Bofando,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Galore Bofando,13,0,0,0,Welterweight,KO/TKO  Punches,1,4:10,Chad Laprise vs. Galore Bofando,6,Chad Laprise,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Nordine Taleb,5,0,0,0,Welterweight,KO/TKO  Kick,1,0:59,Nordine Taleb vs. Danny Roberts,7,Danny Roberts,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Danny Roberts,1,0,0,0,Welterweight,KO/TKO  Kick,1,0:59,Nordine Taleb vs. Danny Roberts,7,Nordine Taleb,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Abel Trujillo,29,1,0,0,Lightweight,U-DEC,3,5:00,John Makdessi vs. Abel Trujillo,8,John Makdessi,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,John Makdessi,47,0,0,0,Lightweight,U-DEC,3,5:00,John Makdessi vs. Abel Trujillo,8,Abel Trujillo,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Oluwale Bamgbose,10,0,0,0,Middleweight,KO/TKO  Knee,2,2:14,Alessio Di Chirico vs. Oluwale Bamgbose,9,Alessio Di Chirico,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Alessio Di Chirico,6,1,0,0,Middleweight,KO/TKO  Knee,2,2:14,Alessio Di Chirico vs. Oluwale Bamgbose,9,Oluwale Bamgbose,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Jordan Mein,51,3,1,4,Welterweight,U-DEC,3,5:00,Jordan Mein vs. Erick Silva,10,Erick Silva,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
loss,Erick Silva,13,0,0,0,Welterweight,U-DEC,3,5:00,Jordan Mein vs. Erick Silva,10,Jordan Mein,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos
win,Brian Ortega,24,0,2,0,Featherweight,SUB  Guillotine Choke,2,3:22,Brian Ortega vs. Cub Swanson,0,Cub Swanson,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Cub Swanson,60,0,0,0,Featherweight,SUB  Guillotine Choke,2,3:22,Brian Ortega vs. Cub Swanson,0,Brian Ortega,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Gabriel Benitez,85,0,0,1,Featherweight,U-DEC,3,5:00,Gabriel Benitez vs. Jason Knight,1,Jason Knight,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Jason Knight,36,1,0,0,Featherweight,U-DEC,3,5:00,Gabriel Benitez vs. Jason Knight,1,Gabriel Benitez,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Marlon Moraes,7,0,0,0,Bantamweight,KO/TKO  Knee,1,1:07,Marlon Moraes vs. Aljamain Sterling,2,Aljamain Sterling,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Aljamain Sterling,3,0,0,0,Bantamweight,KO/TKO  Knee,1,1:07,Marlon Moraes vs. Aljamain Sterling,2,Marlon Moraes,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Scott Holtzman,49,7,0,5,Lightweight,U-DEC,3,5:00,Scott Holtzman vs. Darrell Horcher,3,Darrell Horcher,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Darrell Horcher,36,1,0,0,Lightweight,U-DEC,3,5:00,Scott Holtzman vs. Darrell Horcher,3,Scott Holtzman,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Eryk Anders,79,2,0,3,Middleweight,U-DEC,3,5:00,Eryk Anders vs. Markus Perez,4,Markus Perez,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Markus Perez,30,2,1,1,Middleweight,U-DEC,3,5:00,Eryk Anders vs. Markus Perez,4,Eryk Anders,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Benito Lopez,78,0,1,1,Bantamweight,U-DEC,3,5:00,Benito Lopez vs. Albert Morales,5,Albert Morales,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Albert Morales,78,0,0,0,Bantamweight,U-DEC,3,5:00,Benito Lopez vs. Albert Morales,5,Benito Lopez,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Liz Carmouche,49,4,0,2,Women's Flyweight,S-DEC,3,5:00,Alexis Davis vs. Liz Carmouche,6,Alexis Davis,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Alexis Davis,23,1,2,2,Women's Flyweight,S-DEC,3,5:00,Alexis Davis vs. Liz Carmouche,6,Liz Carmouche,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Andre Soukhamthath,20,0,0,0,Bantamweight,KO/TKO  Punches,2,1:06,Andre Soukhamthath vs. Luke Sanders,7,Luke Sanders,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Luke Sanders,23,0,0,0,Bantamweight,KO/TKO  Punches,2,1:06,Andre Soukhamthath vs. Luke Sanders,7,Andre Soukhamthath,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Carls John De Tomas,8,0,0,0,Bantamweight,SUB  Anaconda Choke,2,1:54,Alex Perez vs. Carls John De Tomas,8,Alex Perez,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Alex Perez,24,2,3,1,Bantamweight,SUB  Anaconda Choke,2,1:54,Alex Perez vs. Carls John De Tomas,8,Carls John De Tomas,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Merab Dvalishvili,47,11,0,0,Bantamweight,S-DEC,3,5:00,Frankie Saenz vs. Merab Dvalishvili,9,Frankie Saenz,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Frankie Saenz,58,0,0,0,Bantamweight,S-DEC,3,5:00,Frankie Saenz vs. Merab Dvalishvili,9,Merab Dvalishvili,2017-12-09,UFC Fight Night: Swanson vs. Ortega
loss,Iuri Alcantara,38,0,0,0,Bantamweight,U-DEC,3,5:00,Alejandro Perez vs. Iuri Alcantara,10,Alejandro Perez,2017-12-09,UFC Fight Night: Swanson vs. Ortega
win,Alejandro Perez,35,0,0,0,Bantamweight,U-DEC,3,5:00,Alejandro Perez vs. Iuri Alcantara,10,Iuri Alcantara,2017-12-09,UFC Fight Night: Swanson vs. Ortega
